county,complaint_description,total_requests
TRAVIS,Austin Code - Request Code Officer,207001
TRAVIS,Traffic Signal - Maintenance,92782
TRAVIS,Loose Dog,78558
TRAVIS,ARR Missed Recycling,53828
TRAVIS,Animal Control - Assistance Request,52373
TRAVIS,Injured / Sick Animal,47920
TRAVIS,ARR Dead Animal Collection,47273
TRAVIS,Street Light Issue- Address,43208
TRAVIS,ARR - Storm Debris Collection,42782
TRAVIS,Park Maintenance - Grounds,39493
TRAVIS,ARR Missed Yard Trimmings/Compost,34683
TRAVIS,ARR - Garbage,33199
TRAVIS,ATD - Parking Violation Enforcement,30568
TRAVIS,Pothole Repair,29553
TRAVIS,ARR - Compost,24559
TRAVIS,APD - Non Emergency Noise/Alarm,23334
TRAVIS,ATD - Shared Micromobility,22839
TRAVIS,Tree Issue ROW,21865
TRAVIS,Debris in Street,20340
TRAVIS,Loud Commercial Music,19737
TRAVIS,APD - Non Emergency Collision,18579
TRAVIS,APD - Vehicle Abatement Report,18389
TRAVIS,ARR - Recycling,17747
TRAVIS,Code Compliance,17414
TRAVIS,Animal - Proper Care,15585
TRAVIS,ARR Brush and Bulk,15422
TRAVIS,Public Health - Graffiti Abatement,15248
TRAVIS,Water Waste Report,14461
TRAVIS,ACD - Request Code Officer,14460
TRAVIS,Traffic Signal - Dig Tess Request,14233
TRAVIS,Sign - Traffic Sign Maintenance,13857
TRAVIS,ARR Missed Yard Trimmings /Organics,13804
TRAVIS,Parking Violation Enforcement,13504
TRAVIS,Graffiti Abatement,13347
TRAVIS,Austin Code - Short Term Rental Complaint SR,12788
TRAVIS,Wildlife Exposure,12487
TRAVIS,Obstruction in ROW,12471
TRAVIS,Animal Bite,12204
TRAVIS,Found Animal - Pick Up,12011
TRAVIS,Sidewalk Repair,11610
TRAVIS,Lane/Road Closure Notification,11552
TRAVIS,311 CC - Other,11338
TRAVIS,Sign - New,11303
TRAVIS,Shared Micromobility,11161
TRAVIS,ARR - Dead Animal Collection,9817
TRAVIS,AE Street Light Issue - Address,9722
TRAVIS,Found Animal Report - Keep,8380
TRAVIS,Pavement Failure,8042
TRAVIS,DSD - Follow-Up,8039
TRAVIS,Loud Music,7892
TRAVIS,Concerns in the ROW,7757
TRAVIS,AW - Water Conservation Violation,7663
TRAVIS,Sign - Traffic Sign Emergency,7490
TRAVIS,Animal Protection - Loose Dog,7223
TRAVIS,Parking Machine Issue,7045
TRAVIS,Channels/Creeks/Drainage Easement,6694
TRAVIS,ATD - Traffic Sign Maintenance,6544
TRAVIS,Dockless Mobility,6407
TRAVIS,ATD - Concerns in Right of Way,6137
TRAVIS,Public Health - Environmental Services - City,6064
WILLIAMSON,Austin Code - Request Code Officer,5982
TRAVIS,Animal Services - Contact Request,5836
TRAVIS,Traffic Signal - New/Change,5656
TRAVIS,Austin Code - Coronavirus,5638
TRAVIS,Tree Issue ROW/Emergency (PW),5575
,Parking Machine Issue,5418
TRAVIS,Loose Animal Not Dog,5403
TRAVIS,Austin Code - Signs/Billboards,5267
TRAVIS,Dangerous/Vicious Dog Investigation,5169
TRAVIS,APH - Graffiti Abatement - Public Property,5163
WILLIAMSON,Traffic Signal - Maintenance,5131
TRAVIS,Pet Resource Center - Assistance Request,5109
TRAVIS,ARR - General,4970
TRAVIS,ARR Street Sweeping,4869
TRAVIS,Animal Protection - Injured/Sick Animal,4780
TRAVIS,Road Markings/Striping - Maintenance,4561
TRAVIS,Tree Issue ROW/Maintenance (PW),4505
TRAVIS,Traffic Engineering - General,4458
TRAVIS,AW - Water Waste Report,4437
TRAVIS,View Obstruction at Intersection,4429
WILLIAMSON,ARR - Storm Debris Collection,4393
TRAVIS,Park Maintenance - Grounds Plumbing Issues,4390
TRAVIS,ATD - Lane/Road Closure Notification,4203
TRAVIS,Creek & Pond Vegetation Control,4095
TRAVIS,ATD - Parking Sign Maintenance,4063
TRAVIS,Coyote Complaints,4015
,Community Connections - Coronavirus,3895
TRAVIS,Bicycle Issues,3816
TRAVIS,DSD - Request Code Officer,3815
TRAVIS,WPD - Channels/Creek/Drainage Issues,3750
TRAVIS,DSD - Outdoor Commercial Venue Music Complaint,3735
TRAVIS,Sign - Street Name,3715
TRAVIS,Alley & Unpaved Street Maintenance,3630
TRAVIS,ARR - Bulk,3617
TRAVIS,School Zone Flasher - Timing/Maintenance,3487
TRAVIS,Construction Items in ROW,3431
TRAVIS,DSD - Environmental Complaint,3379
TRAVIS,Animal Protection - Found Animal Assistance,3353
TRAVIS,Aquatics Hotline Inquiry,3341
TRAVIS,Park Maintenance - Pool Issues,3266
TRAVIS,Flooding  Current (Non-Emergency),3161
