month,complaint_description,total_requests
1,Austin Code - Request Code Officer,14939
1,Loose Dog,7885
1,Traffic Signal - Maintenance,6822
1,ARR Missed Recycling,4833
1,Animal Control - Assistance Request,4704
1,Street Light Issue- Address,4197
1,ARR - Garbage,3779
1,ARR Dead Animal Collection,3405
1,Park Maintenance - Grounds,3306
1,Injured / Sick Animal,3138
1,ATD - Parking Violation Enforcement,2882
1,Pothole Repair,2826
1,ARR - Recycling,2269
1,ARR Missed Yard Trimmings/Compost,2131
1,ARR - Compost,2009
1,APD - Non Emergency Noise/Alarm,1907
1,Animal - Proper Care,1635
1,APD - Vehicle Abatement Report,1569
1,Debris in Street,1558
1,Traffic Signal - Dig Tess Request,1550
1,Loud Commercial Music,1525
1,ATD - Shared Micromobility,1504
1,DSD - Request Code Officer,1504
1,APD - Non Emergency Collision,1442
1,ARR Brush and Bulk,1433
1,Public Health - Graffiti Abatement,1412
1,311 CC - Other,1389
1,Graffiti Abatement,1385
1,ARR Missed Yard Trimmings /Organics,1324
1,Code Compliance,1106
1,Sign - Traffic Sign Maintenance,1097
1,Loud Music,1060
1,Animal Bite,1046
1,Parking Violation Enforcement,1038
1,Austin Code - Short Term Rental Complaint SR,976
1,ARR - Dead Animal Collection,960
1,Found Animal Report - Keep,958
1,Found Animal - Pick Up,954
1,ATD - Traffic Signal - Maintenance,941
1,Community Connections - Coronavirus,934
1,Parking Machine Issue,919
1,Lane/Road Closure Notification,912
1,AE Street Light Issue - Address,892
1,Sign - New,864
1,Animal Services - Contact Request,847
1,Sidewalk Repair,844
1,DSD - Follow-Up,778
1,Shared Micromobility,751
1,Animal Protection - Loose Dog,744
1,Pavement Failure,662
1,Concerns in the ROW,646
1,Obstruction in ROW,643
1,Pet Resource Center - Assistance Request,641
1,Tree Issue ROW,641
1,Wildlife Exposure,610
1,Austin Code - Coronavirus,586
1,Sign - Traffic Sign Emergency,576
1,ATD - Traffic Sign Maintenance,562
1,Water Waste Report,534
1,Traffic Signal - New/Change,523
1,Coyote Complaints,523
1,Channels/Creeks/Drainage Easement,510
1,ARR Street Sweeping,485
1,Dangerous/Vicious Dog Investigation,471
1,SBO - Pothole Repair,465
1,ATD - Concerns in Right of Way,457
1,Austin Code - Signs/Billboards,456
1,ARR - General,432
1,ARR - Bulk,406
1,Dockless Mobility,390
1,Park Maintenance - Grounds Plumbing Issues,388
1,ATD - Lane/Road Closure Notification,386
1,Animal Protection - Injured/Sick Animal,382
1,Animal Protection - Found Animal Assistance,368
1,Public Health - Environmental Services - City,362
1,APH - Graffiti Abatement - Public Property,353
1,ATD - Parking Sign Maintenance,352
1,Construction Items in ROW,347
1,Sign - Street Name,344
1,Road Markings/Striping - Maintenance,338
1,Traffic Engineering - General,328
1,DSD - Environmental Complaint,310
1,WPD - Channels/Creek/Drainage Issues,289
1,Loose Animal Not Dog,278
1,Bicycle Issues,275
1,Animal Protection - Assistance Request,266
1,Street Light Issue- Multiple poles/multiple streets,252
1,Street Lights New,251
1,ARR - On Call Bulk,242
1,Flooding  Current (Non-Emergency),239
1,School Zone Flasher - Timing/Maintenance,237
1,Park Maintenance - Grounds Electrical Issues,236
1,ATD - Dig Tess Request,236
1,Lost Item in Storm Drainage System,235
1,Sign - Parking Sign Maintenance,227
1,DSD - Outdoor Commercial Venue Music Complaint,227
1,ZZ - AFD - Fireworks Complaint,227
1,Alley & Unpaved Street Maintenance,225
1,Animal Protection - Animal Proper Care,224
1,ATD - Traffic Sign New,210
1,Road Markings/Striping - New,206
1,AW - Water Conservation Violation,204
1,ARR - Street Sweeping,202
1,SBO - Debris in Street,197
1,Construction items in ROW,196
1,Sidewalk/Curb Ramp/Route - NEW,190
1,Traffic Calming,190
1,ATD - Construction Items in Right of Way,188
1,AW - Water Waste Report,184
1,Park Maintenance - Building Plumbing Issues,178
1,Pet Resource Center - Found Pet Report,173
1,Animal In Vehicle,167
1,ATD - Road Markings/Striping - Maintenance,165
1,ZZ AFD - Fireworks Complaint,164
1,ATD - Speed Management,163
1,Tree Issue ROW/Maintenance (PW),159
1,ATD - Street Name Sign Maintenance,153
