age_group,complaint_description,total_requests
Under 18,Austin Code - Request Code Officer,213564
Under 18,Traffic Signal - Maintenance,98662
Under 18,Loose Dog,80125
Under 18,ARR Missed Recycling,55380
Under 18,Animal Control - Assistance Request,54900
Under 18,Injured / Sick Animal,49338
Under 18,ARR Dead Animal Collection,49048
Under 18,ARR - Storm Debris Collection,47302
Under 18,Street Light Issue- Address,45956
Under 18,Park Maintenance - Grounds,39828
Under 18,ARR Missed Yard Trimmings/Compost,35657
Under 18,ARR - Garbage,34103
Under 18,ATD - Parking Violation Enforcement,31330
Under 18,Pothole Repair,30478
Under 18,ARR - Compost,25267
Under 18,APD - Non Emergency Noise/Alarm,24114
Under 18,ATD - Shared Micromobility,22884
Under 18,Tree Issue ROW,22473
Under 18,Debris in Street,20875
Under 18,Loud Commercial Music,20039
Under 18,APD - Non Emergency Collision,19449
Under 18,APD - Vehicle Abatement Report,19056
Under 18,ARR - Recycling,18206
Under 18,Code Compliance,17849
Under 18,Animal - Proper Care,16286
Under 18,ARR Brush and Bulk,16053
Under 18,Water Waste Report,15735
Under 18,Public Health - Graffiti Abatement,15518
Under 18,Sign - Traffic Sign Maintenance,15110
Under 18,ACD - Request Code Officer,14983
Under 18,Traffic Signal - Dig Tess Request,14539
Under 18,ARR Missed Yard Trimmings /Organics,14299
Under 18,Parking Violation Enforcement,13811
Under 18,Graffiti Abatement,13573
Under 18,Wildlife Exposure,12945
Under 18,Animal Bite,12882
Under 18,Austin Code - Short Term Rental Complaint SR,12876
Under 18,Obstruction in ROW,12797
Under 18,Parking Machine Issue,12467
Under 18,Found Animal - Pick Up,12349
Under 18,Sidewalk Repair,11990
Under 18,311 CC - Other,11789
Under 18,Sign - New,11719
Under 18,Lane/Road Closure Notification,11613
Under 18,Found Animal Report - Keep,11577
Under 18,Shared Micromobility,11205
Under 18,AE Street Light Issue - Address,10379
Under 18,ARR - Dead Animal Collection,10235
Under 18,DSD - Follow-Up,8586
Under 18,Pavement Failure,8206
Under 18,Sign - Traffic Sign Emergency,8145
Under 18,AW - Water Conservation Violation,8091
Under 18,Loud Music,8057
Under 18,Concerns in the ROW,7871
Under 18,Animal Protection - Loose Dog,7405
Under 18,Channels/Creeks/Drainage Easement,6850
Under 18,ATD - Traffic Sign Maintenance,6760
Under 18,Traffic Signal - New/Change,6576
Under 18,Dockless Mobility,6454
Under 18,ATD - Concerns in Right of Way,6328
Under 18,Public Health - Environmental Services - City,6327
Under 18,Animal Services - Contact Request,5847
Under 18,Austin Code - Coronavirus,5810
Under 18,Tree Issue ROW/Emergency (PW),5675
Under 18,Loose Animal Not Dog,5664
Under 18,Austin Code - Signs/Billboards,5455
Under 18,Dangerous/Vicious Dog Investigation,5378
Under 18,Pet Resource Center - Assistance Request,5305
Under 18,APH - Graffiti Abatement - Public Property,5268
Under 18,ARR - General,5125
Under 18,ARR Street Sweeping,4999
Under 18,Animal Protection - Injured/Sick Animal,4941
Under 18,ATD - Lane/Road Closure Notification,4931
Under 18,AW - Water Waste Report,4749
Under 18,Road Markings/Striping - Maintenance,4693
Under 18,Tree Issue ROW/Maintenance (PW),4688
Under 18,Traffic Engineering - General,4608
Under 18,View Obstruction at Intersection,4522
Under 18,Park Maintenance - Grounds Plumbing Issues,4419
Under 18,Sign - Street Name,4338
Under 18,Creek & Pond Vegetation Control,4221
Under 18,Coyote Complaints,4148
Under 18,ATD - Parking Sign Maintenance,4088
Under 18,Bicycle Issues,4024
Under 18,DSD - Request Code Officer,3975
Under 18,Community Connections - Coronavirus,3895
Under 18,WPD - Channels/Creek/Drainage Issues,3882
Under 18,School Zone Flasher - Timing/Maintenance,3863
Under 18,ARR - Bulk,3760
Under 18,DSD - Outdoor Commercial Venue Music Complaint,3749
Under 18,Alley & Unpaved Street Maintenance,3672
Under 18,DSD - Environmental Complaint,3527
Under 18,Construction Items in ROW,3497
Under 18,Animal Protection - Found Animal Assistance,3462
Under 18,Aquatics Hotline Inquiry,3426
Under 18,Sign - Parking Sign Maintenance,3343
Under 18,Park Maintenance - Pool Issues,3342
Under 18,Animal In Vehicle,3307
Under 18,Flooding  Current (Non-Emergency),3246
