source,complaint_description,total_requests
Phone,Austin Code - Request Code Officer,139301
Phone,Traffic Signal - Maintenance,96135
Phone,Loose Dog,71411
Phone,ARR Missed Recycling,55341
Phone,Animal Control - Assistance Request,54493
Phone,Injured / Sick Animal,49261
Phone,ARR Dead Animal Collection,41304
Spot311 Interface,Austin Code - Request Code Officer,37712
Phone,Street Light Issue- Address,36525
Phone,ARR Missed Yard Trimmings/Compost,35645
Phone,ARR - Garbage,34027
Web,Austin Code - Request Code Officer,31954
Spot311 Interface,ATD - Parking Violation Enforcement,27824
Phone,ARR - Compost,25205
Phone,ARR - Storm Debris Collection,22721
Spot311 Interface,Park Maintenance - Grounds,22181
Spot311 Interface,ATD - Shared Micromobility,21842
Phone,Tree Issue ROW,20125
Phone,Debris in Street,20036
Phone,APD - Non Emergency Collision,19151
Spot311 Interface,ARR - Storm Debris Collection,18672
Phone,ARR - Recycling,18163
Phone,ARR Brush and Bulk,16041
Phone,Animal - Proper Care,15985
Phone,Park Maintenance - Grounds,14961
Phone,Traffic Signal - Dig Tess Request,14539
Spot311 Interface,Pothole Repair,14518
Phone,Code Compliance,14414
Phone,ARR Missed Yard Trimmings /Organics,14298
Spot311 Interface,Loud Commercial Music,13737
Phone,Pothole Repair,13472
Phone,APD - Non Emergency Noise/Alarm,13020
Phone,Wildlife Exposure,12931
Phone,Animal Bite,12870
Phone,Parking Machine Issue,12334
Spot311 Interface,Parking Violation Enforcement,11987
Phone,Obstruction in ROW,11775
Spot311 Interface,311 CC - Other,11666
Phone,Found Animal - Pick Up,10789
Spot311 Interface,APD - Non Emergency Noise/Alarm,10369
Spot311 Interface,Shared Micromobility,9334
Phone,APD - Vehicle Abatement Report,9191
Phone,Water Waste Report,8983
Spot311 Interface,Public Health - Graffiti Abatement,8897
Spot311 Interface,Loose Dog,8594
Phone,Lane/Road Closure Notification,8451
Phone,DSD - Follow-Up,8286
Phone,Sign - Traffic Sign Emergency,7944
Spot311 Interface,Austin Code - Short Term Rental Complaint SR,7759
Spot311 Interface,Sign - Traffic Sign Maintenance,7666
Phone,Concerns in the ROW,7631
Spot311 Interface,ARR Dead Animal Collection,7520
Spot311 Interface,Found Animal Report - Keep,7163
Phone,Loud Music,7160
Spot311 Interface,APD - Vehicle Abatement Report,7151
Phone,ACD - Request Code Officer,7119
Phone,Sign - New,6964
Phone,Pavement Failure,6944
Phone,ARR - Dead Animal Collection,6915
Phone,Sign - Traffic Sign Maintenance,6348
Phone,Loud Commercial Music,6143
Phone,Animal Protection - Loose Dog,6073
Phone,Animal Services - Contact Request,5813
Spot311 Interface,Sidewalk Repair,5750
Phone,Tree Issue ROW/Emergency (PW),5667
Mass Entry,Graffiti Abatement,5659
Phone,Loose Animal Not Dog,5645
Spot311 Interface,ACD - Request Code Officer,5589
Spot311 Interface,ATD - Traffic Sign Maintenance,5526
Web,ARR - Storm Debris Collection,5460
Phone,Channels/Creeks/Drainage Easement,5430
Phone,Public Health - Graffiti Abatement,5386
Phone,Dangerous/Vicious Dog Investigation,5358
